cancer_type	n_total	n_idr_mut	n_idr_wt	median_emp_idr_mut	median_emp_idr_wt	delta_emp	mw_stat	mw_pval	pct_hybrid_idr_mut	pct_hybrid_idr_wt	fisher_odds	fisher_pval	mw_fdr	fisher_fdr
blca_tcga	408	7	401	-8828.765039583337	-7248.079391666666	-1580.6856479166709	1481.0	0.8074996992557152	14.285714285714286	25.935162094763093	0.47596153846153844	0.6829685480058882	0.9461554050329596	1.0
brca_tcga	1100	12	1088	6417.3569677083315	109.34718750000002	6308.009780208331	8393.0	0.08846563253908445	33.333333333333336	40.80882352941177	0.7252252252252253	0.770636803963699	0.5307937952345068	1.0
cesc_tcga	306	8	298	-8582.754894791666	-4796.425011458333	-3786.329883333333	1093.0	0.6953027604321432	37.5	41.946308724832214	0.8304	1.0	0.9461554050329596	1.0
hnsc_tcga	522	5	517	5469.872175	3380.92968125	2088.9424937500003	1325.0	0.9263780842440271	60.0	47.58220502901354	1.6524390243902438	0.6731539939940399	0.9461554050329596	1.0
lgg_tcga	530	3	527	2728.42150625	3239.1819437499985	-510.76043749999826	810.0	0.9461554050329596	100.0	86.52751423149905	inf	1.0	0.9461554050329596	1.0
lihc_tcga	373	5	368	423.3667895833332	364.9010937500002	58.46569583333297	795.0	0.6133146878645668	80.0	87.22826086956522	0.5856697819314641	0.4998065203873446	0.9461554050329596	1.0
luad_tcga	517	27	490	-1988.1657520833323	-1256.7733781249997	-731.3923739583327	5877.0	0.329111207116206	59.25925925925926	60.816326530612244	0.937156802928615	1.0	0.9461554050329596	1.0
lusc_tcga	501	22	479	-850.5386666666674	-624.4319729166655	-226.1066937500019	4982.0	0.6661023292621355	36.36363636363637	51.356993736951985	0.5412311265969802	0.19470857487741	0.9461554050329596	1.0
sarc_tcga	263	3	260	25172.186152083334	23824.111842708335	1348.0743093749988	417.0	0.8489693271960366	0.0	2.3076923076923075	0.0	1.0	0.9461554050329596	1.0
skcm_tcga	472	34	438	5013.952058333334	6589.792191666666	-1575.8401333333322	6420.0	0.18073266896240825	55.88235294117647	40.182648401826484	1.8856060606060605	0.10242769727106363	0.722930675849633	1.0
stad_tcga	36	3	33	-170.98024431818175	-64.21305492424243	-106.76718939393932	9.0	0.014845938375350141	100.0	100.0		1.0	0.17815126050420171	1.0
ucec_tcga	177	19	158	-5793.434258333337	-5571.717350000001	-221.7169083333365	1436.0	0.7598654699252674	36.8421052631579	30.379746835443036	1.3368055555555556	0.6036255873289299	0.9461554050329596	1.0
