gene	n_idr_mut	median_emp_mut	median_emp_wt	delta_emp	mw_pval	pct_hybrid_mut	pct_hybrid_wt	fisher_odds	fisher_pval	mw_fdr
ZEB1	69	2261.901077083333	883.3986145833333	1378.5024624999996	0.5775032897856599	53.6231884057971	49.947831271426445	1.158665323783945	0.5482731084525987	0.6757793202979498
ZEB2	44	106.83519971590894	885.637922916666	-778.802723200757	0.4573959120879977	45.45454545454545	50.01485001485001	0.8328384798099763	0.6505202916155296	0.6757793202979498
ESRP1	18	-38.65134583333429	884.5130479166655	-923.1643937499998	0.6757793202979498	27.77777777777778	50.044378698224854	0.3839332408649583	0.09581382335376729	0.6757793202979498
SNAI1	16	4606.4872927083325	879.1926968749999	3727.2945958333326	0.1430855170100716	56.25	49.97042295178941	1.287236291379529	0.6285688441641557	0.5395435681671309
ESRP2	12	-1588.0954666666676	885.637922916666	-2473.7333895833335	0.21581742726685238	50.0	49.985220218740764	1.0005913660555885	1.0	0.5395435681671309
